CpGmarker,CoefficientTraining,Symbol
cg11903057,5.525340985,RHOH
cg04718414,-5.452605586,CDC16
cg26201213,5.446299477,MGMT
cg24674703,5.41797411,CD5
cg25229964,5.410729068,CNKSR1
cg10878896,5.340752668,CS
cg04416752,-5.338257391,ST6GALNAC4
cg21120249,-5.286945909,LINC02908
cg19586576,5.285877086,GJC1
cg15551881,5.216122264,TRAF1
cg11833861,-5.210109944,TMEM98
cg13700897,-5.203206279,RSPO2
cg05473871,-5.15604937,ADAMTSL5
cg11487705,-5.062657046,OXCT1
cg16354207,-4.990591369,UBE2F
cg24921089,-4.986411499,AMPD3
cg04169469,4.926923884,ODC1
cg20090497,4.874022045,TAS2R9
cg20550118,-4.852301857,CRABP1
cg04601137,-4.847499211,ADAMTSL5
cg17536848,-4.833656874,LMBR1
cg22282672,4.813692319,ZNF474
cg14423778,-4.795612884,MBNL1
cg07236943,4.684481441,PEG10
cg03387497,4.630001389,BANF2
cg05125838,-4.602562372,UCN2
cg02735486,4.59476785,ANK2
cg26824091,4.586931755,GLO1
cg18691434,4.543967955,GPC2
cg05228408,-4.49429672,CLCN6
cg19615059,4.492646466,TRPV4
cg13296371,4.457073326,TMEM128
cg16718891,-4.410288204,ITGA5
cg27514224,-4.390952425,NUP188
cg00410898,-4.303054603,STC1
cg16543027,-4.284958486,PLCB2
cg14350002,-4.233812041,GAS1
cg22407458,4.232471361,TCP11
cg04480914,-4.215631426,PPP2R5B
cg11459714,-4.21297823,KLK10
cg24493940,-4.202135081,MMP17
cg03819692,4.145197074,LINC00304
cg08668790,4.112113212,ZNF154
cg07180649,-4.105965549,WNT4
cg00515905,-4.103268356,EPS8L3
cg22473095,4.044042377,RBBP9
cg17324128,-4.043943288,RASSF4
cg00113951,4.02670329,CABP1
cg16408970,4.024035102,BAMBI
cg00412805,4.016808807,KLHL40
cg01400401,4.009589827,MIR7-3HG
cg26581729,-3.998837847,NPDC1
cg12473775,-3.994735863,RHOD
cg26109803,-3.984563973,WNT8B
cg05442902,-3.966098185,P2RX6
cg13351161,-3.960753228,SCARA3
cg21200703,3.959178135,SLC34A2
cg23191950,3.958521328,ALDH1A3
cg05089968,-3.91160807,PRR18
cg02071305,-3.886409522,VPS18
cg26746469,3.866139002,TTI1
cg17770886,3.827665372,ZNF511
cg04755031,3.817194129,PNPLA5
cg01623187,-3.806275602,GTSF1L
cg09322949,3.784159584,MED20
cg19514469,3.775144564,ELMO3
cg00687674,3.757669266,EWSAT1
cg08475827,3.702746231,RIF1
cg14918082,3.608249401,KCNAB3
cg23818978,3.603684682,JAML
cg13975369,3.583069518,CEP41
cg16295988,3.558270741,INIP
cg13323474,3.552242836,CFAP70
cg09304040,3.548407354,CDK2
cg22580353,3.485338581,PVR
cg15903282,-3.473480174,EPHB1
cg13718960,3.468680041,RNASE1
cg00955230,3.41792265,RFC2
cg06144905,3.413484589,PIPOX
cg09413557,-3.403045935,S100A6
cg15856055,3.375380941,ZNF511
cg19685066,3.331314764,ACTL8
cg03258472,-3.301812331,CRB3
cg16743289,3.265740439,CACYBP
cg26932976,-3.259148427,CLUH
cg19883905,-3.218932622,CIDEA
cg16713727,3.187970744,SLC25A34
cg21835643,3.158955159,RBPJL
cg23668631,-3.15460847,CAMKK1
cg21006686,3.152813941,NOS1
cg05441133,3.103760739,GDF2
cg08587542,-3.06398296,DELE1
cg20572838,3.062671547,EME1
cg21081971,-2.970173829,TRPC4
cg20492933,2.947623086,MRPL22
cg19731122,2.914336066,MYO1C
cg09851465,2.879940739,C1orf87
cg24505341,2.841188478,CADPS
cg25536676,-2.837642113,DHCR24
cg19663795,-2.827607692,A1BG
cg10917602,-2.815298757,HSD3B7
cg23234999,2.789697779,MKRN3
cg06958034,2.788051118,KDM1A
cg19439331,2.757897465,TET1
cg14550518,-2.732393181,ZNF385D
cg13854874,2.705537905,CHAF1B
cg08586737,2.696221083,GCC1
cg13307384,2.583560626,PRPF40B
cg23152772,2.580749951,FIBCD1
cg19560210,2.560159507,PGBD5
cg26711820,2.558421247,MYF6
cg08900043,2.536833226,HOXC10
cg15013019,-2.533299173,LYL1
cg21907579,2.497611714,TBX5
cg13656062,2.484283954,CYP4F2
cg08694544,2.481527201,RTBDN
cg06638451,2.479689072,FAM107A
cg07211259,-2.423609122,PDCD1LG2
cg19297232,-2.403650899,SMPD3
cg04087608,2.383062953,HSD3B2
cg20652640,-2.37602848,ZFPM1
cg19378133,2.374343432,RBFOX1
cg10570177,2.358758156,CACFD1
cg01252496,2.348957061,USE1
cg12177001,2.336851094,IFI27
cg20891917,2.296781942,IFRD1
cg26022315,-2.270877875,SNF8
cg06994793,2.264576345,TMCO6
cg15427448,2.261768982,BACE1
cg25713185,2.25600198,SLC19A3
cg25251635,2.248622897,POP7
cg26898166,-2.24450608,EMX1
cg19028160,-2.242872325,HDAC4
cg12145907,2.227238015,PCDHGC4
cg07073964,-2.216579511,KLK10
cg03007010,-2.202237705,ARHGAP33
cg20828084,2.193830696,CEMIP
cg21926612,-2.151586582,PRKN
cg13571802,-2.123161461,TGM4
cg21762589,2.116884479,BNIP3
cg16612562,2.080897193,RASL10A
cg00350702,2.072016695,ERGIC3
cg19686152,-2.066714676,TMOD3
cg03703325,2.057604969,HEMK1
cg26614073,-2.026512819,SCAP
cg18881501,-2.022128432,MAP2K3
cg15171237,-1.981506525,CASP3
cg08654655,1.973711223,CADM3
cg11490446,1.961425559,PSEN1
cg03623878,1.943750756,MCF2L
cg13258700,1.935417196,RNF32-DT
cg00297600,1.908695219,UNC5D
cg08074477,1.902730524,TNS4
cg06637774,1.89342443,P2RY6
cg19632206,1.89091587,BRINP3
cg16357381,-1.880522626,COL7A1
cg19149785,-1.875110597,KLK8
cg00335286,1.855444605,MC2R
cg00412772,1.844120976,C19orf33
cg20234170,1.829049562,CAT
cg07038400,1.7787351,PPP2R3A
cg21712685,-1.765357537,CLPSL2
cg15498283,1.743616315,TALDO1
cg23127998,1.686038152,FLRT3
cg00582628,-1.678163605,RGS20
cg18001427,-1.649720496,RWDD2B
cg10669058,-1.649159645,CILP2
cg19573166,-1.645326874,SLC22A17
cg01946401,-1.552392375,RUNX2
cg08872493,1.548231761,HTR1D
cg22484793,1.547278123,TLR9
cg05440289,1.547194374,IVL
cg12188560,-1.546553159,CNTFR
cg02480835,1.531112896,NUP42
cg19356189,-1.528350646,KLK10
cg12402251,1.509543012,CALB1
cg22179082,-1.509071514,GPR12
cg15201877,1.467052004,PTGER3
cg27626102,-1.465742937,STEAP2
cg21649520,-1.462031413,PMP2
cg23213217,1.448091683,DEGS1
cg00744433,-1.411402743,CXADR
cg24556026,1.410756917,GNE
cg19724470,-1.399107852,CD274
cg22809047,1.377506045,RPL31
cg11896923,-1.375881082,PNMT
cg00168942,-1.375221101,GJD4
cg16984944,-1.359979716,TBC1D23
cg02197293,1.326475211,FBXO27
cg19566405,1.286269453,SLFN12
cg10591174,-1.280172495,MYL2
cg23338195,1.264378979,SLC30A8
cg26350286,-1.261236982,ESRP1
cg06295856,1.251326977,CALCA
cg01335367,1.211111994,FAM222A
cg05898102,1.202033611,PCDHB10
cg18392482,-1.196389134,AMDHD1
cg26312920,-1.182810193,NEUROD6
cg12813792,1.182049823,CIMIP1
cg08424423,-1.156840533,CDSN
cg13510262,1.146725133,SP1
cg21363706,1.140495095,NAT1
cg09254939,-1.115123986,KLK10
cg13899108,1.112549015,PDE4C
cg21184495,-1.102666731,ZNF207
cg17627559,1.069116234,TSPAN32
cg01261503,1.047474154,POLG2
cg26219051,1.046570867,SCUBE1
cg14009688,1.041709284,CALD1
cg21993406,1.01756345,CENPH
cg24110063,-1.01239731,COX6A2
cg10900550,-0.993401947,TDRD7
cg05422352,0.965636264,COPS7B
cg18384097,-0.960409715,PTPN7
cg01511567,-0.955659544,SSRP1
cg15489301,-0.925473409,AKR1B10
cg26394940,-0.852196304,PRR34
cg18241647,0.833493573,WFDC12
cg17966192,-0.814304713,SULT1C2
cg18732541,0.797614179,MCEMP1
cg20570279,-0.790590456,ZPR1
cg23239039,0.774552515,NSG1
cg13654195,-0.764669972,RIOK1
cg17431739,-0.762536285,MSRB2
cg16816226,-0.761063169,EDEM1
cg08251399,0.755043977,EHD3
cg09799873,-0.750651448,NDUFA7
cg15887846,-0.742899932,CST6
cg22194129,0.727265735,CLEC4C
cg25898500,-0.725019577,HAGH
cg16372520,0.71058822,NRXN3
cg09096950,0.684630536,UBE4A
cg12864235,0.655304718,CDH9
cg18809289,0.653578992,ALOX5
cg24651706,0.653433186,CHCHD5
cg21201109,0.648066076,KANK2
cg23568913,-0.644984918,PES1
cg23159337,-0.632208093,ATP13A4
cg10795646,-0.630165,S100A10
cg24332433,0.617734017,SLC39A11
cg13861644,0.588384291,PIWIL1
cg06171242,0.573872643,TDP2
cg00338702,0.534125992,CHFR
cg04818845,0.530063706,PLEKHG5
cg18468844,-0.514411149,PTAFR
cg06975499,-0.508782249,EZH1
cg01128603,-0.499180939,SF3B2
cg13119609,-0.497800027,APOC2
cg10667970,-0.494137066,FBXO6
cg09404633,-0.481760063,LMOD1
cg01918706,0.481129756,UBE2T
cg11618577,0.45590634,KRTCAP3
cg22983092,0.434401518,KRT25
cg18771300,-0.430534396,RHOJ
cg10202457,-0.41970649,NMNAT2
cg19371795,0.402226134,INSR
cg12991365,-0.399519083,CHDH
cg22090592,-0.38718029,INF2
cg14972143,0.385312405,EIF4E
cg01056568,-0.326099256,GLP2R
cg24505122,0.307545432,WNT5B
cg12324144,0.299599643,LRRC34
cg05697249,-0.297182577,C11orf52
cg01459453,-0.294798529,SELP
cg16728114,0.275798966,METTL25B
cg09196959,0.260322504,TRIM40
cg04359302,0.255790471,MRPL47
cg00862290,-0.233766711,KCNMB3
cg01114088,-0.226611181,CYTL1
cg13613532,0.21020524,C11orf65
cg12289045,0.205379773,SYT3
cg16466334,0.166685207,MMP3
cg09630437,0.165360604,SLC39A3
cg04333463,0.164994457,ASPH
cg05501584,-0.164581823,ST8SIA2
cg09294589,-0.157799598,CRTAP
cg16319578,0.155277938,HSPA2
cg13460409,0.148824189,RIPPLY3
cg18587364,-0.137734976,ZNF562
cg14105047,0.137366272,PDLIM5
cg00079056,0.122818203,SPINK4
cg20674577,-0.120528788,PHACTR3
cg22197830,-0.117965431,TXNDC15
cg09045681,0.11706097,TCF19
cg14467840,0.11617835,S100A1
cg13587552,-0.096960459,SCNN1D
cg25022327,-0.085880587,TP53AIP1
cg04616566,0.068531735,THSD4
cg26842024,0.063834719,KLF2
cg17903544,0.058590013,PGAM5
cg21053529,-0.052460218,GJD2
cg06363129,-0.047794699,SOSTDC1
cg23173910,-0.047747114,ACTG2
cg09434995,0.04407787,SSC4D
cg13843773,0.043585555,CFAP299
cg27440834,0.033980159,SNX4
cg15642326,0.032502686,MARK4
cg27244482,-0.031981428,CAMK2A
cg00083937,0.030577331,MAPK8IP2
cg22395019,0.027494572,GALNT14
cg17923358,0.024808297,RELN
cg17861230,0.023738294,PDE4C
cg08212685,0.012944061,ATG10
cg12373771,0.01052681,TMEM121B
cg00503840,0.002679625,DLX5
cg15381313,0.002078841,NR1H4
